-Potions (Potion of Healing): Slot 41
"&cBrewing ingredients and bottles with unique status effects."
-----------------------------------
>Honey Bottle: Buy - 67; Sell - 20
>Lingering Potion of Swiftness 2: Buy - 590; Sell - 270
>Lingering Potion of Slowness (3:00): Buy - 550; Sell - 290
>Lingering Potion of Slowness (8:00): Buy - 670; Sell - 330
>Lingering Potion of Slowness (2): Buy - 800; Sell - 370
>Lingering Potion of Turtle Master (0:20): Buy - 1100; Sell - 360
>Lingering Potion of Turtle Master (0:40): Buy - 1220; Sell - 410
>Lingering Potion of Turtle Master (4-6): Buy - 1350; Sell - 490
>Lingering Potion of Water Breathing (3:00): Buy - 480; Sell - 180
>Lingering Potion of Water Breathing (8:00): Buy - 520; Sell - 240
>Lingering Potion of Healing: Buy - 480; Sell - 180
>Lingering Potion of Healing (2): Buy - 520; Sell - 240
>Lingering Potion of Harming: Buy - 680; Sell - 280
>Lingering Potion of Harming (2): Buy - 905; Sell - 350
>Lingering Potion of Poison (0:45): Buy - 480; Sell - 180
>Lingering Potion of Poison (1:30): Buy - 520; Sell - 240
>Lingering Potion of Poison (2): Buy - 590; Sell - 270
>Lingering Potion of Regeneration (0:45): Buy - 620; Sell - 230
>Lingering Potion of Regeneration (1:30): Buy - 680; Sell - 280
>Lingering Potion of Regeneration (2): Buy - 850; Sell - 360
>Lingering Potion of Strength (3:00): Buy - 480; Sell - 180
>Lingering Potion of Strength (8:00): Buy - 520; Sell - 240
>Lingering Potion of Strength (2): Buy - 590; Sell - 270
>Lingering Potion of Weakness (1:30): Buy - 320; Sell - 120
>Lingering Potion of Weakness (4:00): Buy - 530; Sell - 140
>Lingering Potion of Slow Falling (1:30): Buy - 320; Sell - 120
>Lingering Potion of Slow Falling (4:00): Buy - 530; Sell - 140
>Lingering Potion of Wind Charging (3:00): Buy - 630; Sell - 200
>Lingering Potion of Weaving (3:00): Buy - 680; Sell - 170
>Lingering Potion of Oozing (3:00): Buy - 790; Sell - 220
>Lingering Potion of Infestation (3:00): Buy - 400; Sell - 130


